County,Precinct,Date,Party,Method,State,Votes
1,10001,11/03/2020,DEM,Absentee,OK,13
1,10001,11/03/2020,DEM,Early,OK,15
1,10001,11/03/2020,DEM,In Person,OK,107
1,10001,11/03/2020,IND,Absentee,OK,1
1,10001,11/03/2020,IND,Early,OK,1
1,10001,11/03/2020,IND,In Person,OK,18
1,10001,11/03/2020,LIB,Absentee,OK,1
1,10001,11/03/2020,LIB,In Person,OK,1
1,10001,11/03/2020,REP,Absentee,OK,8
1,10001,11/03/2020,REP,Early,OK,33
1,10001,11/03/2020,REP,In Person,OK,156
1,10001,11/08/2016,DEM,Absentee,OK,4
1,10001,11/08/2016,DEM,Early,OK,13
1,10001,11/08/2016,DEM,In Person,OK,119
1,10001,11/08/2016,IND,Absentee,OK,1
1,10001,11/08/2016,IND,Early,OK,1
1,10001,11/08/2016,IND,In Person,OK,13
1,10001,11/08/2016,LIB,Absentee,OK,1
1,10001,11/08/2016,LIB,In Person,OK,1
1,10001,11/08/2016,REP,Absentee,OK,7
1,10001,11/08/2016,REP,Early,OK,15
1,10001,11/08/2016,REP,In Person,OK,134
1,10002,11/03/2020,DEM,Absentee,OK,8
1,10002,11/03/2020,DEM,Early,OK,7
1,10002,11/03/2020,DEM,In Person,OK,105
1,10002,11/03/2020,IND,Early,OK,3
1,10002,11/03/2020,IND,In Person,OK,14
1,10002,11/03/2020,LIB,Early,OK,1
1,10002,11/03/2020,REP,Absentee,OK,10
1,10002,11/03/2020,REP,Early,OK,14
1,10002,11/03/2020,REP,In Person,OK,144
1,10002,11/08/2016,DEM,Absentee,OK,1
1,10002,11/08/2016,DEM,Early,OK,9
1,10002,11/08/2016,DEM,In Person,OK,102
1,10002,11/08/2016,IND,Early,OK,2
1,10002,11/08/2016,IND,In Person,OK,10
1,10002,11/08/2016,LIB,In Person,OK,1
1,10002,11/08/2016,REP,Absentee,OK,6
1,10002,11/08/2016,REP,Early,OK,8
1,10002,11/08/2016,REP,In Person,OK,143
1,10003,11/03/2020,DEM,Absentee,OK,1
1,10003,11/03/2020,DEM,Early,OK,1
1,10003,11/03/2020,DEM,In Person,OK,45
1,10003,11/03/2020,IND,Absentee,OK,1
1,10003,11/03/2020,IND,In Person,OK,5
1,10003,11/03/2020,REP,Absentee,OK,6
1,10003,11/03/2020,REP,Early,OK,3
1,10003,11/03/2020,REP,In Person,OK,80
1,10003,11/08/2016,DEM,In Person,OK,45
1,10003,11/08/2016,IND,Absentee,OK,1
1,10003,11/08/2016,IND,In Person,OK,5
1,10003,11/08/2016,REP,Absentee,OK,4
1,10003,11/08/2016,REP,In Person,OK,69
1,10004,11/03/2020,DEM,Absentee,OK,19
1,10004,11/03/2020,DEM,Early,OK,29
1,10004,11/03/2020,DEM,In Person,OK,74
1,10004,11/03/2020,IND,Absentee,OK,4
1,10004,11/03/2020,IND,Early,OK,8
1,10004,11/03/2020,IND,In Person,OK,19
