Precinct,County,DEM,REP,DEM_Absentee,REP_Absentee,DEM_Early,REP_Early,DEM_In Person,REP_In Person,DEM_county,DEM_Absentee_county,DEM_Early_county,REP_county,REP_Absentee_county,REP_Early_county,DEM_uniform,REP_uniform,DEM_by_area,REP_by_area,DEM_by_vap,REP_by_vap,DEM_by_cvap,REP_by_cvap,DEM_by_totpop,REP_by_totpop,DEM_by_day_of,REP_by_day_of,DEM_by_voterfile_tot_votes,REP_by_voterfile_tot_votes,DEM_by_voterfile_mode,REP_by_voterfile_mode,DEM_by_voterfile_party,REP_by_voterfile_party,DEM_by_voterfile_mode_party,REP_by_voterfile_mode_party,DEM_by_voterfile_minus_day_of,REP_by_voterfile_minus_day_of,DEM_by_scaled_voterfile_minus_day_of,REP_by_scaled_voterfile_minus_day_of,DEM_Absentee_uniform,DEM_Absentee_by_area,DEM_Absentee_by_vap,DEM_Absentee_by_cvap,DEM_Absentee_by_totpop,DEM_Absentee_by_day_of,DEM_Absentee_by_voterfile_tot_votes,DEM_Absentee_by_voterfile_mode,DEM_Absentee_by_voterfile_party,DEM_Absentee_by_voterfile_mode_party,DEM_Absentee_by_voterfile_minus_day_of,DEM_Absentee_by_scaled_voterfile_minus_day_of,REP_Absentee_uniform,REP_Absentee_by_area,REP_Absentee_by_vap,REP_Absentee_by_cvap,REP_Absentee_by_totpop,REP_Absentee_by_day_of,REP_Absentee_by_voterfile_tot_votes,REP_Absentee_by_voterfile_mode,REP_Absentee_by_voterfile_party,REP_Absentee_by_voterfile_mode_party,REP_Absentee_by_voterfile_minus_day_of,REP_Absentee_by_scaled_voterfile_minus_day_of,DEM_Early_uniform,DEM_Early_by_area,DEM_Early_by_vap,DEM_Early_by_cvap,DEM_Early_by_totpop,DEM_Early_by_day_of,DEM_Early_by_voterfile_tot_votes,DEM_Early_by_voterfile_mode,DEM_Early_by_voterfile_party,DEM_Early_by_voterfile_mode_party,DEM_Early_by_voterfile_minus_day_of,DEM_Early_by_scaled_voterfile_minus_day_of,REP_Early_uniform,REP_Early_by_area,REP_Early_by_vap,REP_Early_by_cvap,REP_Early_by_totpop,REP_Early_by_day_of,REP_Early_by_voterfile_tot_votes,REP_Early_by_voterfile_mode,REP_Early_by_voterfile_party,REP_Early_by_voterfile_mode_party,REP_Early_by_voterfile_minus_day_of,REP_Early_by_scaled_voterfile_minus_day_of
"('ALAMANCE', '1')",1,566.0,2299.0,174.0,226.0,293.0,1271.0,99.0,802.0,38825.0,10159.0,23256.0,46056.0,5289.0,29543.0,978.3421052631579,1718.6315789473683,4003.3682062197695,4871.9372544978905,1163.5067586254581,1911.6483440503353,1263.6708395321327,2016.0599934934385,1175.412754386429,1924.0592267181833,710.4759704251386,3290.8866714183896,1228.1255903871088,1979.0074087794037,1057.7229843115115,1819.1674320004154,672.6668632461831,2576.453975778434,633.1705605474745,2330.8424116507995,1066.334689872139,1810.3555863422519,1070.3119566827722,1814.5015135470394,267.34210526315786,1187.0260843030567,323.63681463043633,354.08921319188795,327.256536639585,185.90406654343806,343.2825639007224,267.7486061834769,174.4091475001638,180.18850543104634,294.09406297803565,295.30325207063544,139.18421052631578,617.9920228249696,168.49248081310932,184.34667276030075,170.37698811760657,377.92034925160374,178.72049222078164,139.3958438925494,269.4386506055391,229.76563364692862,153.111871157676,153.74140173261057,612.0,2717.3421219167126,740.8699439950218,810.5816263402447,749.156217746844,425.57190388170056,785.8430264863864,690.9743781280347,399.2577157460193,353.9820551164281,673.2406268941035,676.0087046121367,777.4473684210526,3451.9452316729207,941.1558632372261,1029.7133207331376,951.6822386005769,2110.9663221667856,998.2869165586221,877.7715881078658,1505.0153251728952,1299.0767780038711,855.2437151845759,858.7601118144288
"('ALAMANCE', '103')",1,910.0,1542.0,253.0,183.0,574.0,1123.0,83.0,236.0,38825.0,10159.0,23256.0,46056.0,5289.0,29543.0,962.3421052631579,1152.6315789473683,1003.7717158233822,1195.8180579248856,992.1338242411672,1183.6866486897602,1018.5403226847852,1211.2129438801867,1013.9455963691216,1206.4233731177387,595.6515711645102,968.3905915894511,1044.6328255232452,1238.4119281348399,1112.938685669741,1329.6419151211483,838.4010222134854,1392.9575635572585,888.9918582843786,1506.9103337029005,1122.6677923052503,1319.7560539152018,1120.7494774775125,1317.7563908273744,267.34210526315786,279.9377483480395,276.3995367489456,284.4277760932136,283.03086378913383,155.85896487985212,292.360552880163,286.41377344145974,229.6609003341852,268.1875429671387,316.0851444569516,315.50192852593295,139.18421052631578,145.74178078676846,143.89970960381663,148.07938849857337,147.35212506946834,111.20848182466143,152.20936747545844,149.1133426254435,175.67606091106856,163.9092418372994,164.5609143648801,164.25727925717683,612.0,640.8339674753427,632.7342874922216,651.1125465915716,647.9147325799878,356.792606284658,669.272272643082,743.5249122282812,525.7401218793002,537.8043153172399,723.5826478482986,722.2475489515796,777.4473684210526,814.076277138117,803.7869390859435,827.1335553816133,823.0712480482705,621.1821097647897,850.2025606593814,944.5285724957048,981.2815026461899,1107.0010918656012,919.1951395503219,917.4991115701976
"('ALAMANCE', '104')",1,1014.0,632.0,282.0,88.0,649.0,443.0,83.0,101.0,38825.0,10159.0,23256.0,46056.0,5289.0,29543.0,962.3421052631579,1017.6315789473683,196.55338154790957,219.36873817377784,438.79824379451014,471.88626149484895,624.2168814207012,665.1677813450804,442.24640087860905,475.4806414904597,595.6515711645102,414.43834640057025,779.2747731061306,826.8010742730135,859.4199050055786,906.3647886046675,902.9932835331892,572.6044027403487,978.2680356974329,619.8984049325057,857.9286374000635,908.7903425982047,855.9951083635814,906.7748201262987,267.34210526315786,34.523082542128186,108.17161031597871,164.5435372842407,109.21993675073438,155.85896487985212,211.6850342656047,241.35992143943233,249.29857152218074,255.6162518905541,235.59778624411928,235.0099448111813,139.18421052631578,17.973480024147648,56.316531839867245,85.66500331689625,56.86231375870008,47.593460441910196,110.20790887201333,125.65731120121642,71.60988993149128,77.56419479800775,122.65741622651312,122.35137298024786,612.0,79.03029900578139,247.62663347853143,376.67334413646046,250.02646412787468,356.792606284658,484.58973884052597,535.0599835661462,570.6947120110085,639.6517838068788,539.3308511559443,537.9851635524001,777.4473684210526,100.39525814963018,314.5697296549817,478.50277802818414,317.6183277317596,265.84488595866003,615.5931654010002,679.7074774034511,399.99451280885745,441.334210134498,685.1329263716916,683.4234471460508
"('ALAMANCE', '10N')",1,1213.0,1676.0,302.0,185.0,786.0,1201.0,125.0,290.0,38825.0,10159.0,23256.0,46056.0,5289.0,29543.0,1004.3421052631579,1206.6315789473683,748.3056469909536,939.7376117309262,1080.3413883703242,1285.8536956371431,1135.7867642796678,1343.6502939814272,1099.0551644745547,1305.361050096594,897.06561922366,1189.9714896650034,1262.248796073347,1475.4750879792555,1317.8605437666738,1567.4460778466646,1140.9596356726297,1500.1120166239164,1197.23761473557,1625.4022947140097,1334.4094726816174,1550.6958178197249,1332.6355641169616,1548.84668470214,267.34210526315786,189.5005855987161,290.44779782894284,307.304585914025,296.13725619922195,234.72735674676525,345.7522226338211,317.3078433857071,308.87726885525194,317.0758971538567,367.69088232747424,367.1515695305765,139.18421052631578,98.65819443169696,151.2135449076955,159.98956146267133,154.17560272051233,136.65449037776193,180.0062511576218,165.1974784591992,183.74719958440207,175.61704482567794,191.42800242445236,191.14722425900376,612.0,433.8050613922376,664.8935905413815,703.4821783656428,677.9179082753327,537.3382624768947,791.4965734395258,875.5527003809666,707.0823668173776,755.1617175817133,841.7185903541433,840.4839945863852,777.4473684210526,551.0794172992292,844.6401507294476,893.6607325187558,861.1854473760817,763.3169992872416,1005.4688368216337,1112.2485993874654,1026.3648170395143,1159.785249888332,1069.2678153952725,1067.6994604431363
"('ALAMANCE', '10S1')",1,2598.0,2090.0,643.0,214.0,1734.0,1594.0,221.0,282.0,38825.0,10159.0,23256.0,46056.0,5289.0,29543.0,1100.342105263158,1198.6315789473683,773.5808002225749,858.0135996813626,1578.0583990181842,1696.6059600359538,1839.371251437193,1969.000072723636,1649.3636898933496,1770.9350305660678,1586.0120147874306,1157.144689950107,2027.4462168920168,2165.0505649194292,2204.5341481688006,2378.0925191493243,2200.3696350173645,1822.3481931231534,2326.3684458526886,2032.2728936440674,2219.3225098854155,2365.0635841486996,2214.605661104422,2360.146712182829,267.34210526315786,167.99845427087055,412.5798675931688,492.0255437184032,434.25846852091985,414.99796672828097,549.20506112243,565.1040293968575,601.7781272524736,583.8666300013749,607.5402776575172,606.1062370540124,139.18421052631578,87.46370948308243,214.79820058079235,256.15937599435324,226.0845595045915,132.88471133285816,285.9282969068346,294.205651292448,233.89129517192117,213.6674045379081,316.2989003376916,315.55230709505577,612.0,384.58234595170444,944.4785314250155,1126.3457077187898,994.1052213724296,950.0140480591497,1257.2411557695868,1418.430118771943,1377.5915077648908,1521.5018158513137,1390.7822322278985,1387.4994240504095,777.4473684210526,488.5498901982802,1199.8077594551614,1430.8406967292829,1262.8504710614761,742.2599786172487,1597.1222680125948,1801.886867856876,1306.4568979512321,1536.6054891061592,1766.7646838110081,1762.594405087773
"('ALAMANCE', '11')",1,1339.0,1330.0,261.0,134.0,824.0,879.0,254.0,317.0,38825.0,10159.0,23256.0,46056.0,5289.0,29543.0,1133.342105263158,1233.6315789473683,3674.495452982107,3882.5453424591574,1257.2817361543248,1362.827006845053,1267.2384418433735,1373.20593764143,1264.3114166247651,1370.154788683939,1822.8373382624768,1300.7619387027798,1301.8935335247268,1409.3306167808855,1262.7616241422497,1403.5239098071218,1624.6696808859183,1248.8993473814085,1558.0313213900708,1259.5828709621894,1279.2011718186277,1385.675960400612,1279.7590126908976,1386.257457131508,267.34210526315786,1039.9166035267162,305.02286869944,308.0499575246695,307.1600682774499,476.965988909427,318.5859765697351,260.02508869741513,416.7180394469563,324.05994775195927,311.68692816116834,311.8565258095714,139.18421052631578,541.403574766493,158.80164903546984,160.37761840220267,159.91432238600578,149.3774946543122,165.86290285238007,135.3748099341105,141.5025163154648,106.83370226895406,162.27110572343926,162.35940200874327,612.0,2380.578849455391,698.2588674548849,705.188484318704,703.1513483473152,1091.87134935305,729.3075569549917,748.7365354448345,953.951641438962,979.9713736381116,713.5142436574595,713.9024868813261,777.4473684210526,3024.1417676926644,887.0253578095832,895.8283192392274,893.2404662979332,834.3844440484676,926.4677139285053,951.1490998730112,790.3968310659437,835.7491686932353,906.4048546771726,906.8980551227647
"('ALAMANCE', '1210')",1,760.0,636.0,150.0,80.0,479.0,391.0,131.0,165.0,38825.0,10159.0,23256.0,46056.0,5289.0,29543.0,1010.3421052631579,1081.6315789473683,223.27865792303578,261.1918363841144,745.271805641983,805.3206803567723,753.9425916120597,814.3591605874985,750.4513324688386,810.7198507423188,940.1247689463955,677.0527441197435,680.2834321170587,737.5764030375996,663.3599915907403,728.3637925772485,774.7330450167093,625.2949446410598,741.2563756000786,631.114246909775,668.1938407365717,724.9741391751089,668.4910362549765,725.2839375978854,267.34210526315786,28.05503174742243,186.75407073221322,189.39020763689703,188.32877709265094,245.99426987061,166.9959714761993,150.60859097820577,195.71102811087084,149.45868279939504,163.3204317834156,163.4107866920337,139.18421052631578,14.606069781682965,97.22829807093963,98.60072922448552,98.04812501654008,77.75169280114042,86.94179477681053,78.41016218955905,69.89262638397351,77.56419479800775,85.02822755216901,85.07526831520487,612.0,64.22362617561335,427.51773490976973,433.5523839751627,431.1225553761876,563.1304990757856,382.2874606408594,381.7514006125345,448.0220169058384,460.7976928006836,373.87340895315606,374.0802495629428,777.4473684210526,81.58576660243143,543.0923822858327,550.7584313630131,547.6717257257787,434.301051318603,485.63460826078904,484.9536303876895,390.4023182570863,388.5500521117673,474.9459116229399,475.20866928268055
"('ALAMANCE', '124')",1,679.0,739.0,188.0,88.0,389.0,472.0,102.0,179.0,38825.0,10159.0,23256.0,46056.0,5289.0,29543.0,981.3421052631579,1095.6315789473683,178.7994149407016,259.0561789978907,664.5770932724884,765.4337965843877,653.2190909661417,753.5941456391636,644.7384087119908,744.7538306825097,732.0055452865065,734.4996436208125,663.27483098722,764.076310427857,664.1604802533084,756.5761721151055,690.9938405084856,717.3302055261533,697.0267334506038,741.8604421410246,660.4115507836177,761.0916096631743,660.4819381124914,761.1649818445101,267.34210526315786,23.34895275722244,171.0375786489663,167.58446042570804,165.006119829571,191.53752310536046,170.6416581774403,182.14628737962494,179.06893388375596,191.36298638801043,169.77114901723095,169.7925485346342,139.18421052631578,12.155981015153998,89.04594482472515,87.24817513451814,85.90583401698996,84.34880612972204,88.83981987405076,94.82938418651798,81.74174486184616,90.7354731599336,88.38661355961555,88.39775462148638,612.0,53.45046218347918,391.53951462352205,383.6346305404337,377.7322888824198,438.46802218114607,390.63317280977964,380.01419287368344,409.9249066247297,403.6637470625935,388.64040176638673,388.6893895778573,777.4473684210526,67.90019798273673,497.38785175966257,487.3459705046454,479.8479966655198,471.15083749109056,496.2364905538063,482.7467879285874,456.58846066430726,472.12496898109094,493.70499610355876,493.76722722302367
"('ALAMANCE', '125')",1,692.0,931.0,227.0,157.0,363.0,567.0,102.0,207.0,38825.0,10159.0,23256.0,46056.0,5289.0,29543.0,981.3421052631579,1123.6315789473683,201.49319530290012,310.71231419394337,736.4876149484892,868.3937633962526,737.6433944013371,869.5985549539839,690.5008733162199,820.4569031677561,732.0055452865065,849.3934426229507,735.6100435265789,867.4789775884423,757.3807252941982,853.2961050411222,701.9416814101303,881.0437027176207,692.5072687951942,892.9464428579304,739.4957427771524,871.5294542095996,739.4002215666504,871.4298823166114,267.34210526315786,30.24843247290625,192.90018495471202,193.25157096283655,178.91905946489533,191.53752310536046,192.63338118170032,248.43981246832234,182.39735272917895,240.25134057472846,193.814731434179,193.78569058493497,139.18421052631578,15.74800269211548,100.42810101638665,100.61104034082513,93.1492179850213,97.54303278688525,100.28919707353214,129.3432589964521,102.34890743205948,131.71278361925843,100.90423413282535,100.88911482466001,612.0,69.24476282999387,441.5874299937772,442.3918234385005,409.5818138513245,438.46802218114607,440.97666234487866,406.9409128258759,417.5443286809514,350.2559282204657,443.6810113429734,443.61453098171546,777.4473684210526,87.96431150182786,560.9656623798659,561.9875146131587,520.3076851827348,544.8504098360655,560.1897805149101,516.9528460446702,571.6947952855612,554.233659238672,563.6252200767743,563.5407674919513
"('ALAMANCE', '126')",1,674.0,852.0,270.0,142.0,357.0,513.0,47.0,197.0,38825.0,10159.0,23256.0,46056.0,5289.0,29543.0,926.3421052631579,1113.6315789473683,139.65928337418228,293.5886026781241,541.7097334577888,712.688446380419,532.7281482495644,703.325987126405,497.5502553788339,666.6563368354196,337.2966728280961,808.3599429793301,646.9567628264494,822.3985923319134,701.4553468207218,825.2317475553573,527.610215582203,934.3766680736387,579.2860485794163,953.2510367903008,675.8157704851791,852.4813981008457,675.1063364380014,851.7418797189426,267.34210526315786,28.170751452889956,150.40419518772038,147.6735675016407,136.9786037526133,88.25748613678373,182.40193785886277,270.96673846933606,146.11758731406854,241.64815069434897,191.1758016567091,190.96011587232252,139.18421052631578,14.666316018735602,78.30374922215307,76.8821240787654,71.31408950168047,92.83080898075552,94.9624814780515,141.07127470856565,111.96558329815903,171.22661870503597,99.53034894796086,99.41805816012538,612.0,64.48853192129233,344.30553827006844,338.05458074792364,313.5716516262206,202.03918669131238,417.5548249675866,383.4886083513857,334.49262826813447,290.6378978850673,437.63996882847,437.14622056567896,777.4473684210526,81.92228665938852,437.3846971582659,429.44386304763964,398.34224733373907,518.5291339985745,530.4361108538619,487.1604728467917,625.4110847754797,585.0244180852648,555.9510491528848,555.3238215588173
